url,name,tdp,mtp,pbp,AMD Configurable TDP (cTDP),GPU Base
https://ark.intel.com//content/www/us/en/ark/products/63698/intel-core-i73820-processor-10m-cache-up-to-3-80-ghz.html,intel core i73820 processor 10m ,130.0,,,,
https://ark.intel.com//content/www/us/en/ark/products/63697/intel-core-i73930k-processor-12m-cache-up-to-3-80-ghz.html,intel core i73930k processor 12m ,130.0,,,,
https://ark.intel.com//content/www/us/en/ark/products/63696/intel-core-i73960x-processor-extreme-edition-15m-cache-up-to-3-90-ghz.html,intel core i73960x processor extreme edition 15m ,130.0,,,,
https://ark.intel.com//content/www/us/en/ark/products/134597/intel-core-i912900-processor-30m-cache-up-to-5-10-ghz.html,intel core i912900 processor 30m ,,202.0,65.0,,
https://ark.intel.com//content/www/us/en/ark/products/132212/intel-core-i912900e-processor-30m-cache-up-to-5-00-ghz.html,intel core i912900e processor 30m ,,,65.0,,
https://ark.intel.com//content/www/us/en/ark/products/134598/intel-core-i912900f-processor-30m-cache-up-to-5-10-ghz.html,intel core i912900f processor 30m ,,202.0,65.0,,
https://ark.intel.com//content/www/us/en/ark/products/132214/intel-core-i912900h-processor-24m-cache-up-to-5-00-ghz.html,intel core i912900h processor 24m ,,115.0,45.0,,
https://ark.intel.com//content/www/us/en/ark/products/132215/intel-core-i912900hk-processor-24m-cache-up-to-5-00-ghz.html,intel core i912900hk processor 24m ,,115.0,45.0,,
https://ark.intel.com//content/www/us/en/ark/products/134601/intel-core-i912900t-processor-30m-cache-up-to-4-90-ghz.html,intel core i912900t processor 30m ,,106.0,35.0,,
https://ark.intel.com//content/www/us/en/ark/products/132211/intel-core-i912900te-processor-30m-cache-up-to-4-80-ghz.html,intel core i912900te processor 30m ,,,35.0,,
https://ark.intel.com//content/www/us/en/ark/products/134599/intel-core-i912900k-processor-30m-cache-up-to-5-20-ghz.html,intel core i912900k processor 30m ,,241.0,125.0,,
https://ark.intel.com//content/www/us/en/ark/products/134600/intel-core-i912900kf-processor-30m-cache-up-to-5-20-ghz.html,intel core i912900kf processor 30m ,,241.0,125.0,,
https://ark.intel.com//content/www/us/en/ark/products/213801/intel-core-i911900h-processor-24m-cache-up-to-4-80-ghz.html,intel core i911900h processor 24m ,,,,,
https://ark.intel.com//content/www/us/en/ark/products/213798/intel-core-i911950h-processor-24m-cache-up-to-4-90-ghz.html,intel core i911950h processor 24m ,,,,,
https://ark.intel.com//content/www/us/en/ark/products/213800/intel-core-i911980hk-processor-24m-cache-up-to-5-00-ghz.html,intel core i911980hk processor 24m ,,,,,
https://ark.intel.com//content/www/us/en/ark/products/212252/intel-core-i911900-processor-16m-cache-up-to-5-20-ghz.html,intel core i911900 processor 16m ,65.0,,,,
https://ark.intel.com//content/www/us/en/ark/products/212254/intel-core-i911900f-processor-16m-cache-up-to-5-20-ghz.html,intel core i911900f processor 16m ,65.0,,,,
https://ark.intel.com//content/www/us/en/ark/products/212325/intel-core-i911900k-processor-16m-cache-up-to-5-30-ghz.html,intel core i911900k processor 16m ,125.0,,,,
