,,Model,Family,Line,Platform,"Product ID Tray","Product ID Boxed","Product ID MPK","Launch Date","# of CPU Cores","# of Threads","Graphics Core Count","Base Clock","Max. Boost Clock ¹ ²","All Core Boost Speed","Total L1 Cache","Total L2 Cache","Total L3 Cache","Unlocked for Overclocking","Processor Technology for CPU Cores","CPU Socket","Socket Count","PCI Express® Version","Thermal Solution PIB","Thermal Solution MPK","Default TDP","AMD Configurable TDP (cTDP)","Max. Operating Temperature (Tjmax)","*OS Support","System Memory Specification","System Memory Type","Memory Channels","Per Socket Mem BW","Graphics Frequency","GPU Base","Graphics Model","Supported Technologies","Workload Affinity"
,on,"AMD Ryzen™ 9 6900HX","AMD Ryzen™ Processors","AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics",Laptop,"FP7:100-000000544 FP7r2:	100-000000560",,,,8,16,12,3.3GHz,"Up to 4.9GHz",,512KB,4MB,16MB,Yes,"TSMC 6nm FinFET",FP7,,"PCIe® 4.0",,,45W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,4,,"2400 MHz",,"AMD Radeon™ 680M",,
,on,"AMD Ryzen™ 7 3800XT","AMD Ryzen™ Processors","AMD Ryzen™ 7 Desktop Processors","Boxed Processor",,100-100000279WOF,,7/2020,8,16,,3.9GHz,"Up to 4.7GHz",,,4MB,32MB,Yes,"TSMC 7nm FinFET",AM4,,"PCIe 4.0","Not included",,105W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,,,,,"Discrete Graphics Card Required","AMD StoreMI Technology, AMD Ryzen™ Master Utility",
,on,"AMD Ryzen™ 9 6900HS​","AMD Ryzen™ Processors","AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics",Laptop,"FP7:100-000000545 FP7r7:	100-000000561",,,,8,16,12,3.3GHz,"Up to 4.9GHz",,512KB,4MB,16MB,No,"TSMC 6nm FinFET",,,"PCIe® 4.0",,,35W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,4,,"2400 MHz",,"AMD Radeon™ 680M",,
,on,"AMD Ryzen™ 7 6800H","AMD Ryzen™ Processors","AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics",Laptop,"FP7:100-000000545 FP7r2:	100-000000561",,,,8,16,12,3.2GHz,"Up to 4.7GHz",,512KB,4MB,16MB,No,"TSMC 6nm FinFET",FP7,,"PCIe® 4.0",,,45W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,4,,"2200 MHz",,"AMD Radeon™ 680M",,
,on,"AMD Ryzen™ 7 6800HS","AMD Ryzen™ Processors","AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics",Laptop,"FP7:100-000000545 FP7r7:	100-000000561",,,,8,16,12,3.2GHz,"Up to 4.7GHz",,512KB,4MB,16MB,No,"TSMC 6nm FinFET",FP7,,"PCIe® 4.0",,,35W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,4,,"2200 MHz",,"AMD Radeon™ 680M",,
,on,"AMD Ryzen™ 5 3600XT","AMD Ryzen™ Processors","AMD Ryzen™ 5 Desktop Processors","Boxed Processor",,100-100000281BOX,,7/2020,6,12,,3.8GHz,"Up to 4.5GHz",,,3MB,32MB,Yes,"TSMC 7nm FinFET",AM4,,"PCIe 4.0","Wraith Spire",,95W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,,,,,"Discrete Graphics Card Required","AMD StoreMI Technology, AMD ""Zen"" Core Architecture, AMD Ryzen™ Master Utility",
,on,"AMD Ryzen™ Threadripper™ PRO 3995WX","AMD Ryzen™ PRO Processors","AMD Ryzen™ Threadripper™ PRO Processors",Desktop,100-000000087,100-100000087WOF,,7/14/2020,64,128,,2.7GHz,"Up to 4.2GHz",,4096KB,32MB,256MB,No,"TSMC 7nm FinFET",sWRX8,1P,"PCIe 4.0",,,280W,,90°C,"Windows 10 - 64-Bit Edition  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,8,,,,"Discrete Graphics Card Required","AMD ""Zen"" Core Architecture",
,on,"AMD Ryzen™ 7 6800U​","AMD Ryzen™ Processors","AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics",Laptop,"FP7:100-000000534 FP7r2:	100-000000617",,,,8,16,12,2.7GHz,"Up to 4.7GHz",,512KB,4MB,16MB,No,"TSMC 6nm FinFET",FP7,,"PCIe® 4.0",,,,15-28W,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,4,,"2200 MHz",,"AMD Radeon™ 680M",,
,on,"AMD Ryzen™ Threadripper™ PRO 3975WX","AMD Ryzen™ PRO Processors","AMD Ryzen™ Threadripper™ PRO Processors",Desktop,100-000000086,100-100000086WOF,,7/14/2020,32,64,,3.5GHz,"Up to 4.2GHz",,2048KB,16MB,128MB,No,"TSMC 7nm FinFET",sWRX8,1P,"PCIe 4.0",,,280W,,90°C,"Windows 10 - 64-Bit Edition  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,8,,,,"Discrete Graphics Card Required","AMD ""Zen"" Core Architecture",
,on,"AMD Ryzen™ Threadripper™ PRO 3955WX","AMD Ryzen™ PRO Processors","AMD Ryzen™ Threadripper™ PRO Processors",Desktop,100-000000167,100-100000167WOF,,7/14/2020,16,32,,3.9GHz,"Up to 4.3GHz",,1024KB,8MB,64MB,No,"TSMC 7nm FinFET",sWRX8,1P,"PCIe 4.0",,,280W,,90°C,"Windows 10 - 64-Bit Edition  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,8,,,,"Discrete Graphics Card Required","AMD ""Zen"" Core Architecture",
