,Model,Default TDP,AMD Configurable TDP (cTDP),GPU Base
109,AMD 3015Ce,6.0,,
110,AMD Ryzen™ Threadripper™ 2990WX,250.0,,
111,AMD Ryzen™ Threadripper™ 2970WX,250.0,,
112,AMD Ryzen™ Threadripper™ 2950X,180.0,,
113,AMD Ryzen™ Threadripper™ 2920X,180.0,,
114,AMD Ryzen™ 7 2700X,105.0,,
115,AMD Ryzen™ 7 2700,65.0,,
116,AMD Ryzen™ 7 2700E Processor,45.0,,
117,AMD Ryzen™ 5 2600X,95.0,,
118,AMD Ryzen™ 5 2600,65.0,,
119,AMD Ryzen™ 5 2600E,45.0,,
120,AMD Ryzen™ 5 2500X,65.0,,
121,AMD Ryzen™ 5 2400G with Radeon™ RX Vega 11 Graphics,65.0,46-65W,
122,AMD Ryzen™ 5 2400GE with Radeon™ RX Vega 11 Graphics,35.0,,
123,AMD Ryzen™ 3 2300X,65.0,,
124,AMD Ryzen™ 3 2200G with Radeon™ Vega 8 Graphics,65.0,46-65W,
125,AMD Ryzen™ 9 PRO 6950H,45.0,,
126,AMD Ryzen™ 3 2200GE with Radeon™ Vega 8 Graphics,35.0,,
127,AMD Ryzen™ 9 PRO 6950HS,35.0,,
128,AMD Ryzen™ 7 2800H,45.0,35-54W,
129,AMD Ryzen™ 5 2600H,45.0,35-54W,
130,AMD Ryzen™ 7 PRO 6850H,45.0,,
131,AMD Ryzen™ 7 2700U,15.0,12-25W,
132,AMD Ryzen™ 7 PRO 6850HS,35.0,,
133,AMD Ryzen™ 5 2500U,15.0,12-25W,
134,AMD Ryzen™ 7 PRO 6850U,,15W-28W,
135,AMD Ryzen™ 3 2300U,15.0,12-25W,
136,AMD Ryzen™ 3 2200U,15.0,12-25W,
137,AMD Ryzen™ 5 PRO 6650H,45.0,,
138,AMD Ryzen™ Threadripper™ 1950X,180.0,,
139,AMD Ryzen™ Threadripper™ 1920X,180.0,,
140,AMD Ryzen™ Threadripper™ 1900X,180.0,,
141,AMD Ryzen™ 5 PRO 6650HS,35.0,,
142,AMD Ryzen™ 7 1800X,95.0,,
143,AMD Ryzen™ 5 PRO 5650G,65.0,,
144,AMD Ryzen™ 5 PRO 5650GE,35.0,,
145,AMD Ryzen™ 5 PRO 6650U,,15W-28W,
146,AMD Ryzen™ 7 1700X,95.0,,
147,AMD Ryzen™ 9 PRO 3900,65.0,,
148,AMD Ryzen™ 7 PRO 3700,65.0,,
149,AMD Ryzen™ 7 1700 Processor,65.0,,
150,AMD Ryzen™ 7 PRO 5875U,15.0,,
151,AMD Ryzen™ 7 PRO 5850U,15.0,,
152,AMD Ryzen™ 5 PRO 5675U,15.0,,
153,AMD Ryzen™ 5 PRO 5650U,15.0,,
154,AMD Ryzen™ 3 PRO 5475U,15.0,,
155,AMD Ryzen™ 7 PRO 5750G,65.0,,
156,AMD Ryzen™ 3 PRO 5450U,15.0,,
157,AMD Ryzen™ 7 PRO 5750GE,35.0,,
158,AMD Ryzen™ 3 PRO 5350G,65.0,,
159,AMD Ryzen™ 7 PRO 4750G,65.0,45-65W,
160,AMD Ryzen™ 5 PRO 3600,65.0,,
161,AMD Ryzen™ 5 1600X,95.0,,
162,AMD Ryzen™ 3 PRO 5350GE,35.0,,
