,Model,Default TDP,AMD Configurable TDP (cTDP),GPU Base
546,E1-7010 with Radeon™ R2 Graphics,,,
547,4230 HE,65.0,,
548,4228 HE,65.0,,
549,4226,95.0,,
550,3380,65.0,,
551,3365,65.0,,
552,3350 HE,45.0,,
553,3320 EE,25.0,,
554,3280,65.0,,
555,3260 HE,45.0,,
556,AMD Opteron™ X2170,25.0,,
557,AMD Opteron™ X2150 APU,22.0,,
558,3250 HE,45.0,,
559,TL-64,35.0,,
560,TL-60,31.0,,
561,TL-56,31.0,,
562,TL-52,31.0,,
